Designator,Mid X,Mid Y,Rotation,Layer
D1,170.575,-68.375,0.0,top
J1,135.1,-90.1,90.0,top
J2,172.075,-89.6,270.0,top
J3,153.775,-113.525,180.0,top
J4,135.3,-67.3,0.0,top
R1,171.075,-62.95,0.0,top
U1,154.07,-70.6435,0.0,top
U2,153.76,-92.595,0.0,top
